No;Ruang;Kapasitas;Peserta;Kode MK;Kurikulum;Nama MK;Nama Kelas;Dosen;Waktu;Hari;Jam;Jam Masuk;Jam Keluar;Program Studi
402;A7.15 (Ged Baru);40;8;CSGE602022;02.00.12.01-2024;Pemrograman Berbasis Platform;PBP;Dr. Baginda Anggun Nan Cenka, S.Kom., M.Kom.;Senin, 13:00 - 14:40;Senin;13:00 - 14:40;13:00;14:40;S1 Kls Internasional - Ilmu Komputer
403;A7.15 (Ged Baru);40;9;CSGE602070;02.00.12.01-2024;Basis Data;Database;Evi Yulianti, M.Comp.Sc, M.Kom., Ph.D.;Selasa, 08:00 - 09:40;Selasa;08:00 - 09:40;08:00;09:40;S1 Kls Internasional - Ilmu Komputer
404;A7.15 (Ged Baru);40;8;CSCM602013;02.00.12.01-2024;Statistika dan Probabilitas;Statistics & Prob;Rahmad Mahendra, S.Kom., M.Sc., Ph.D.;Selasa, 10:00 - 11:40;Selasa;10:00 - 11:40;10:00;11:40;S1 Kls Internasional - Ilmu Komputer
405;A7.15 (Ged Baru);40;8;CSCM602241;02.00.12.01-2024;Teori Bahasa & Automata;Automata;Ir. Suryana Setiawan, M.Sc., Ph.D.;Rabu, 09:00 - 10:40;Rabu;09:00 - 10:40;09:00;10:40;S1 Kls Internasional - Ilmu Komputer
406;A7.15 (Ged Baru);40;8;CSCM602013;02.00.12.01-2024;Statistika dan Probabilitas;Statistics & Prob;Rahmad Mahendra, S.Kom., M.Sc., Ph.D.;Rabu, 11:00 - 11:50;Rabu;11:00 - 11:50;11:00;11:50;S1 Kls Internasional - Ilmu Komputer
407;A7.15 (Ged Baru);40;8;CSGE602022;02.00.12.01-2024;Pemrograman Berbasis Platform;PBP;Dr. Baginda Anggun Nan Cenka, S.Kom., M.Kom.;Rabu, 15:00 - 16:40;Rabu;15:00 - 16:40;15:00;16:40;S1 Kls Internasional - Ilmu Komputer
408;A7.15 (Ged Baru);40;8;CSCM602055;02.00.12.01-2024;Sistem Operasi;OS;Amril Syalim, S.Kom., M.Eng., Ph.D.;Kamis, 10:00 - 11:40;Kamis;10:00 - 11:40;10:00;11:40;S1 Kls Internasional - Ilmu Komputer
409;A7.15 (Ged Baru);40;9;CSGE602070;02.00.12.01-2024;Basis Data;Database;Evi Yulianti, M.Comp.Sc, M.Kom., Ph.D.;Kamis, 13:00 - 14:40;Kamis;13:00 - 14:40;13:00;14:40;S1 Kls Internasional - Ilmu Komputer
410;A7.15 (Ged Baru);40;8;CSCM602013;02.00.12.01-2024;Statistika dan Probabilitas;Statistics & Prob;Rahmad Mahendra, S.Kom., M.Sc., Ph.D.;Kamis, 16:00 - 17:40;Kamis;16:00 - 17:40;16:00;17:40;S1 Kls Internasional - Ilmu Komputer
411;A7.15 (Ged Baru);40;8;CSCM602055;02.00.12.01-2024;Sistem Operasi;OS;Amril Syalim, S.Kom., M.Eng., Ph.D.;Jumat, 10:00 - 11:40;Jumat;10:00 - 11:40;10:00;11:40;S1 Kls Internasional - Ilmu Komputer
412;Lab.1101/1103 --- PC 46;70;40;CSGE601020;06.00.12.01-2024;Dasar-Dasar Pemrograman 1;DDP 1 E;Dr.rer.nat. Fariz Darari, S.Kom., M.Sc.;Kamis, 13:00 - 14:40;Kamis;13:00 - 14:40;13:00;14:40;S1 - Sistem Informasi
413;Lab.1101/1103 --- PC 46;70;48;CSGE601020;06.00.12.01-2024;Dasar-Dasar Pemrograman 1;DDP 1 C;Ichlasul Affan, S.Kom., M.Kom.;Kamis, 15:00 - 16:40;Kamis;15:00 - 16:40;15:00;16:40;S1 - Sistem Informasi
414;Lab.1101/1103 --- PC 46;70;32;CSCM601252;01.00.12.01-2024;Pengantar Organisasi Komputer;POK;Ir. Adhi Yuniarto Laurentius Yohannes, M.Kom.;Jumat, 10:00 - 11:40;Jumat;10:00 - 11:40;10:00;11:40;S1 - Ilmu Komputer
415;Lab.1101/1103 --- PC 46;70;30;CSGE602040;01.00.12.01-2024;Struktur Data & Algoritma;SDA F;Ir. Suryana Setiawan, M.Sc., Ph.D.;Jumat, 14:00 - 15:40;Jumat;14:00 - 15:40;14:00;15:40;S1 - Ilmu Komputer
416;Lab.1105 --- PC 24;40;13;CSCE604133;01.00.12.01-2024;Computer Vision;Computer Vision B;Dr.Eng. Laksmita Rahadianti, S.Kom., M.Sc.;Kamis, 13:00 - 13:50;Kamis;13:00 - 13:50;13:00;13:50;S1 - Ilmu Komputer
417;Lab.1105 --- PC 24;40;33;CSGE602040;01.00.12.01-2024;Struktur Data & Algoritma;SDA E;Ammar Fathin Sabili, S.Kom., Ph.D.;Jumat, 14:00 - 15:40;Jumat;14:00 - 15:40;14:00;15:40;S1 - Ilmu Komputer
418;Lab.1105 --- PC 24;40;33;CSGE602040;01.00.12.01-2024;Struktur Data & Algoritma;SDA E;Ir. Suryana Setiawan, M.Sc., Ph.D.;Jumat, 14:00 - 15:40;Jumat;14:00 - 15:40;14:00;15:40;S1 - Ilmu Komputer
419;Lab.1107/1109 --- PC 34;60;12;CSCE604133;01.00.12.01-2024;Computer Vision;Computer Vision A;Muhammad Febrian Rachmadi, S.Kom., M.Sc., Ph.D.;Kamis, 13:00 - 13:50;Kamis;13:00 - 13:50;13:00;13:50;S1 - Ilmu Komputer
420;Lab.1107/1109 --- PC 34;60;52;CSGE601020;06.00.12.01-2024;Dasar-Dasar Pemrograman 1;DDP 1 F;Lulu Ilmaknun Qurotaini, M.DataSc;Kamis, 15:00 - 16:40;Kamis;15:00 - 16:40;15:00;16:40;S1 - Sistem Informasi
421;Lab.1107/1109 --- PC 34;60;52;CSGE601020;06.00.12.01-2024;Dasar-Dasar Pemrograman 1;DDP 1 F;Ibad Rahadian Saladdin, S.Kom., M.T.I.;Kamis, 15:00 - 16:40;Kamis;15:00 - 16:40;15:00;16:40;S1 - Sistem Informasi
